location,year,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_population
Alabama,2021,58.51,47.63,4903031.960348659
Alabama,2022,64.83,53.02,4902810.427271325
Alabama,2023,65.07,53.22,4903281.081911787
Alaska,2021,65.03,56.33,731490.0815008457
Alaska,2022,72.75,64.95,731560.1374570447
Alaska,2023,73.15,65.22,731511.961722488
Arizona,2021,67.3,57.01,7278707.280832096
Arizona,2022,77.09,65.78,7278410.948242314
Arizona,2023,78.16,66.16,7278898.413510747
Arkansas,2021,62.72,51.21,3017842.793367347
Arkansas,2022,69.63,56.69,3017654.746517306
Arkansas,2023,70.01,56.95,3017864.5907727466
California,2021,79.95,64.22,39514372.7329581
California,2022,84.32,74.38,39512995.73055029
California,2023,84.95,74.82,39511487.934078865
Colorado,2021,74.56,66.22,5758931.06223176
Colorado,2022,83.34,73.24,5758722.102231821
Colorado,2023,83.89,73.67,5758415.782572417
Connecticut,2021,88.61,74.6,3565448.594966708
Connecticut,2022,101.99,82.77,3565149.524463183
Connecticut,2023,102.8,83.15,3565238.326848249
Delaware,2021,76.66,64.16,973751.6305765719
Delaware,2022,87.68,72.91,973740.8759124087
Delaware,2023,88.41,73.45,973729.216152019
Florida,2021,74.5,63.36,21478040.268456377
Florida,2022,82.09,69.16,21476600.07309051
Florida,2023,82.76,69.61,21478691.396810055
Georgia,2021,61.27,51.08,10617256.406071486
Georgia,2022,68.15,57.09,10616826.118855463
Georgia,2023,68.55,57.42,10617820.56892779
Hawaii,2021,83.61,62.48,1415883.2675517283
Hawaii,2022,91.1,81.27,1415835.345773875
Hawaii,2023,91.56,81.63,1415877.0205329838
Idaho,2021,52.14,46.23,1786896.816263905
Idaho,2022,63.71,56.29,1786945.5344529902
Idaho,2023,64.05,56.58,1787128.805620609
Illinois,2021,71.96,64.04,12672156.753752086
Illinois,2022,78.84,70.97,12672541.856925419
Illinois,2023,79.12,71.39,12671669.615773508
Indiana,2021,57.9,52.0,6732248.704663213
Indiana,2022,64.17,57.59,6732325.074022128
Indiana,2023,64.54,57.83,6732491.478153083
Iowa,2021,64.9,58.96,3155124.8073959937
Iowa,2022,70.42,64.15,3155248.508946322
Iowa,2023,70.79,64.49,3154874.9823421384
Kansas,2021,69.3,57.02,2913219.3362193364
Kansas,2022,75.89,65.02,2913366.714982211
Kansas,2023,76.43,65.47,2913210.781106895
Kentucky,2021,62.46,54.21,4467452.769772654
Kentucky,2022,68.6,59.4,4467362.973760934
Kentucky,2023,68.98,59.69,4467810.959698463
Louisiana,2021,57.39,50.26,4648907.475169891
Louisiana,2022,62.65,54.91,4648817.238627295
Louisiana,2023,62.86,55.07,4648506.204263442
Maine,2021,85.86,75.82,1344187.0486839039
Maine,2022,96.91,83.02,1344268.9092972863
Maine,2023,97.72,83.52,1344225.3376995497
Maryland,2021,80.45,70.4,6045568.676196395
Maryland,2022,91.3,79.37,6045768.893756846
Maryland,2023,91.94,79.88,6045929.9543180335
Massachusetts,2021,90.65,74.58,6892167.677881963
Massachusetts,2022,106.05,83.84,6892245.16737388
Massachusetts,2023,107.12,84.43,6892752.987303957
Michigan,2021,63.46,56.81,9986742.830129214
Michigan,2022,69.25,62.17,9987542.238267148
Michigan,2023,69.81,62.57,9986978.942844864
Minnesota,2021,71.42,65.42,5639941.192943153
Minnesota,2022,78.49,71.87,5639749.012613072
Minnesota,2023,79.0,72.3,5639930.379746835
Mississippi,2021,55.29,48.07,2976270.573340568
Mississippi,2022,61.48,53.55,2976299.6096291477
Mississippi,2023,61.74,53.73,2975965.3385163588
Missouri,2021,62.34,53.03,6137754.250882258
Missouri,2022,69.09,58.82,6137736.286003763
Missouri,2023,69.48,59.16,6137475.532527345
Montana,2021,62.05,54.02,1068812.2481869461
Montana,2022,67.99,58.95,1068721.8708633624
Montana,2023,68.36,59.23,1068771.21123464
Nebraska,2021,66.38,59.85,1934456.1614944262
Nebraska,2022,73.1,66.0,1934476.0601915186
Nebraska,2023,73.6,66.43,1934456.5217391304
Nevada,2021,69.5,56.44,3080348.2014388493
Nevada,2022,77.27,63.52,3080192.8303351887
Nevada,2023,77.78,63.78,3080276.420673695
New Hampshire,2021,84.0,63.96,1359701.1904761905
New Hampshire,2022,87.49,71.51,1359700.537204252
New Hampshire,2023,88.43,72.16,1359657.3561008705
